id,type,name,region,phone,certified
TECH-0001,technician,Romuald HAMADOU,Centre,237-262-402-726,True
TECH-0002,technician,Laurence TCHUENKAM,Littoral,+237617312049,True
TECH-0003,technician,Fabrice BELLO,Est,616104827,False
TECH-0004,technician,Jacques NKOLO,Centre,698528954,True
TECH-0005,technician,Armand EKANI,Littoral,+237207167992,False
TECH-0006,technician,Emmanuel ETOA,Littoral,+237224425095,True
TECH-0007,technician,Oumarou NGUIMO,Littoral,+237613112892,False
TECH-0008,technician,Aminatou MBARGA,Ouest,237-631-297-689,False
TECH-0009,technician,Nadège ATANGANA,Littoral,+237288999734,False
TECH-0010,technician,Adamou OUSMANOU,Ouest,+237631361878,False
TECH-0011,technician,Laurence OWONA,Ouest,237-659-586-543,True
TECH-0012,technician,Claude ELLA,Nord-Ouest,235013941,True
TECH-0013,technician,Cédric GUIDIGUIS,Littoral,+237674925621,True
TECH-0014,technician,Pierre YONKEU,Littoral,245763168,True
TECH-0015,technician,Jacques NKOUAM,Adamaoua,237-257-404-189,False
TECH-0016,technician,Alain EKANI,Littoral,237-218-613-816,True
TECH-0017,technician,Adamou TCHUENKAM,Centre,220888293,False
TECH-0018,technician,Jean-Baptiste YONKEU,Extrême-Nord,237-295-055-343,True
TECH-0019,technician,Brigitte KUATE,Ouest,237-287-531-007,True
TECH-0020,technician,Aminatou BIYONG,Littoral,237-675-194-750,True
TECH-0021,technician,Pierre GUIDIGUIS,Centre,638583628,True
TECH-0022,technician,Moussa NGUIMO,Littoral,237-235-141-299,True
TECH-0023,technician,Colette ABENA,Centre,237-236-371-001,True
TECH-0024,technician,Sandrine BELLO,Littoral,237-223-568-955,True
TECH-0025,technician,Fabrice OUSMANOU,Littoral,606159102,True
TECH-0026,technician,Marie-Claire NKOLO,Ouest,234283124,False
TECH-0027,technician,Cédric FEUDJIO,Littoral,615504270,True
TECH-0028,technician,Emmanuel MBARGA,Nord-Ouest,237-648-061-852,True
TECH-0029,technician,Josiane OUSMANOU,Est,269761830,True
TECH-0030,technician,Lionel BELLO,Nord-Ouest,237-629-623-696,False
TECH-0031,technician,Mahamat KUETE,Centre,237-677-230-916,False
TECH-0032,technician,Ibrahim DAIROU,Est,251884267,True
TECH-0033,technician,Gérard ETOA,Est,643955010,True
TECH-0034,technician,Adamou BELLO,Littoral,+237280709785,True
TECH-0035,technician,André TCHINDA,Adamaoua,+237620608012,True
TECH-0036,technician,Henri HAMADOU,Extrême-Nord,+237627157790,True
TECH-0037,technician,Adamou ESSOMBA,Adamaoua,237-606-201-033,True
TECH-0038,technician,Vanessa KUATE,Nord-Ouest,237-283-144-315,True
TECH-0039,technician,Jacques MENGUE,Nord-Ouest,+237294528125,True
TECH-0040,technician,Marcel FOUDA,Ouest,237-210-674-654,True
TECH-0041,technician,Alain MVONDO,Centre,237-261-586-380,True
TECH-0042,technician,Serge DAIROU,Littoral,607494313,True
TECH-0043,technician,Romuald OWONA,Nord-Ouest,668676584,True
TECH-0044,technician,Kevin KUETE,Littoral,+237687629489,True
TECH-0045,technician,Mariama KUETE,Centre,689189405,False
TECH-0046,technician,Armand BEKOLO,Extrême-Nord,237-626-753-365,True
TECH-0047,technician,Christelle OWONA,Centre,237-275-067-878,True
TECH-0048,technician,Marie-Claire NKOUAM,Centre,205951573,True
TECH-0049,technician,Christelle KAMGA,Nord-Ouest,+237682555368,True
TECH-0050,technician,Pierre OWONA,Centre,+237646569366,True
TECH-0051,technician,Henri MEBADA,Nord-Ouest,232982865,True
TECH-0052,technician,Armand ETOA,Littoral,655882439,False
TECH-0053,technician,Josiane ESSOMBA,Littoral,+237666825571,True
TECH-0054,technician,Marie-Claire FOMEKONG,Ouest,+237671849789,False
TECH-0055,technician,Pauline DAIROU,Centre,+237646290696,True
TECH-0056,technician,Adamou ESSOMBA,Extrême-Nord,661245728,True
TECH-0057,technician,Cynthia ABENA,Nord-Ouest,659587619,True
TECH-0058,technician,Kevin KUATE,Ouest,292275800,False
TECH-0059,technician,Jean-Baptiste BEKOLO,Adamaoua,+237205298485,False
TECH-0060,technician,Jean-Baptiste MENGUE,Centre,692011717,True
TECH-0061,technician,Hamidou KUATE,Centre,+237247417639,True
TECH-0062,technician,Brigitte ELLA,Centre,+237273550202,True
TECH-0063,technician,Patrick KAMGA,Ouest,237-644-623-585,True
TECH-0064,technician,Fatoumata FEUDJIO,Ouest,237-650-114-782,True
TECH-0065,technician,Fatoumata KUETE,Centre,237-239-130-191,False
TECH-0066,technician,Emmanuel FEUDJIO,Est,237-219-934-074,True
TECH-0067,technician,Alain OWONA,Ouest,237-230-549-983,True
TECH-0068,technician,Kevin ABENA,Littoral,+237282373565,True
TECH-0069,technician,Carole YONKEU,Extrême-Nord,+237226954293,True
TECH-0070,technician,Colette KAMGA,Littoral,237-272-960-664,True
TECH-0071,technician,Fabrice FOUDA,Est,678025657,True
TECH-0072,technician,Henri OUSMANOU,Ouest,237-643-851-862,False
TECH-0073,technician,Christelle NGANOU,Centre,+237610405578,True
TECH-0074,technician,Mariama ATANGANA,Nord-Ouest,237-695-401-876,True
TECH-0075,technician,Josiane ONANA,Centre,237-287-602-982,True
TECH-0076,technician,Isabelle NKOUAM,Extrême-Nord,+237643276427,True
TECH-0077,technician,Ibrahim OWONA,Ouest,+237686004322,False
TECH-0078,technician,Richard OWONA,Adamaoua,237-209-011-257,True
TECH-0079,technician,Marie-Claire MEBADA,Nord-Ouest,+237206696965,True
TECH-0080,technician,Kevin ESSOMBA,Ouest,259936536,True
TECH-0081,technician,Jean-Baptiste ESSOMBA,Est,212474574,True
TECH-0082,technician,Cynthia MEBADA,Ouest,248186535,True
TECH-0083,technician,Kevin ESSOMBA,Est,+237695981432,False
TECH-0084,technician,Francine ONANA,Littoral,+237275073055,False
